model,eps,min_samples,cluster_count_excluding_noise,noise_count,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,training_time_seconds
DBSCAN,3.9,3,2,1,0.0056179775280898875,0.2255169037053281,5.817153811489587,1.0465342567606082,0.006721899999320158
DBSCAN,3.9,4,1,4,0.02247191011235955,,,,0.007143699998778175
DBSCAN,3.9,5,1,4,0.02247191011235955,,,,0.0063277999997808365
DBSCAN,3.9,6,1,4,0.02247191011235955,,,,0.005579599999691709
DBSCAN,3.9,8,1,4,0.02247191011235955,,,,0.005151900000782916
DBSCAN,3.9,10,1,4,0.02247191011235955,,,,0.005881600000066101
DBSCAN,4.0,3,2,0,0.0,0.2224506072765093,5.74429160266628,1.0514155755446577,0.00701160000062373
DBSCAN,4.0,4,1,3,0.016853932584269662,,,,0.005128500000864733
DBSCAN,4.0,5,1,3,0.016853932584269662,,,,0.00604370000110066
DBSCAN,4.0,6,1,3,0.016853932584269662,,,,0.007520999999542255
DBSCAN,4.0,8,1,3,0.016853932584269662,,,,0.005986500000290107
DBSCAN,4.0,10,1,3,0.016853932584269662,,,,0.00678909999987809
DBSCAN,4.1,3,1,0,0.0,,,,0.008153300001140451
DBSCAN,4.1,4,1,0,0.0,,,,0.0054270000000542495
DBSCAN,4.1,5,1,0,0.0,,,,0.0042424999992363155
DBSCAN,4.1,6,1,0,0.0,,,,0.006489900000815396
DBSCAN,4.1,8,1,2,0.011235955056179775,,,,0.00645020000047225
DBSCAN,4.1,10,1,2,0.011235955056179775,,,,0.005142100000739447
DBSCAN,4.2,3,1,0,0.0,,,,0.006887499999720603
DBSCAN,4.2,4,1,0,0.0,,,,0.006744700000126613
DBSCAN,4.2,5,1,0,0.0,,,,0.0065646999992168276
DBSCAN,4.2,6,1,0,0.0,,,,0.006378800000675255
DBSCAN,4.2,8,1,0,0.0,,,,0.006407099999705679
DBSCAN,4.2,10,1,0,0.0,,,,0.006079499999032123
DBSCAN,4.3,3,1,0,0.0,,,,0.004946099999870057
DBSCAN,4.3,4,1,0,0.0,,,,0.004567600000882521
DBSCAN,4.3,5,1,0,0.0,,,,0.005879500000446569
DBSCAN,4.3,6,1,0,0.0,,,,0.006106799999543
DBSCAN,4.3,8,1,0,0.0,,,,0.005300900000293041
DBSCAN,4.3,10,1,0,0.0,,,,0.006994299999860232
DBSCAN,4.4,3,1,0,0.0,,,,0.0049719999988155905
DBSCAN,4.4,4,1,0,0.0,,,,0.004077400000824127
DBSCAN,4.4,5,1,0,0.0,,,,0.007340099999055383
DBSCAN,4.4,6,1,0,0.0,,,,0.005612799999653362
DBSCAN,4.4,8,1,0,0.0,,,,0.007184200001574936
DBSCAN,4.4,10,1,0,0.0,,,,0.005896799999391078
DBSCAN,4.5,3,1,0,0.0,,,,0.006876400000692229
DBSCAN,4.5,4,1,0,0.0,,,,0.00592770000002929
DBSCAN,4.5,5,1,0,0.0,,,,0.004885199999989709
DBSCAN,4.5,6,1,0,0.0,,,,0.00490919999901962
DBSCAN,4.5,8,1,0,0.0,,,,0.004339700000855373
DBSCAN,4.5,10,1,0,0.0,,,,0.004474999999729334
DBSCAN,4.6,3,1,0,0.0,,,,0.0038985999999567866
DBSCAN,4.6,4,1,0,0.0,,,,0.0040638000009494135
DBSCAN,4.6,5,1,0,0.0,,,,0.004258499999195919
DBSCAN,4.6,6,1,0,0.0,,,,0.00384459999986575
DBSCAN,4.6,8,1,0,0.0,,,,0.004276899999240413
DBSCAN,4.6,10,1,0,0.0,,,,0.005260199999611359
DBSCAN,4.7,3,1,0,0.0,,,,0.006166299999676994
DBSCAN,4.7,4,1,0,0.0,,,,0.0051444000000628876
DBSCAN,4.7,5,1,0,0.0,,,,0.004172999999354943
DBSCAN,4.7,6,1,0,0.0,,,,0.004486499999984517
DBSCAN,4.7,8,1,0,0.0,,,,0.006198299999596202
DBSCAN,4.7,10,1,0,0.0,,,,0.006438500000513159
DBSCAN,4.8,3,1,0,0.0,,,,0.005614299998342176
DBSCAN,4.8,4,1,0,0.0,,,,0.0037866000002395594
DBSCAN,4.8,5,1,0,0.0,,,,0.004382200000691228
DBSCAN,4.8,6,1,0,0.0,,,,0.00434789999962959
DBSCAN,4.8,8,1,0,0.0,,,,0.0045470999993995065
DBSCAN,4.8,10,1,0,0.0,,,,0.003781400000661961
DBSCAN,4.9,3,1,0,0.0,,,,0.003933899999537971
DBSCAN,4.9,4,1,0,0.0,,,,0.004445000000487198
DBSCAN,4.9,5,1,0,0.0,,,,0.005187599999771919
DBSCAN,4.9,6,1,0,0.0,,,,0.0035499000005074777
DBSCAN,4.9,8,1,0,0.0,,,,0.003759300001547672
DBSCAN,4.9,10,1,0,0.0,,,,0.005309000000124797
DBSCAN,5.0,3,1,0,0.0,,,,0.004107299999304814
DBSCAN,5.0,4,1,0,0.0,,,,0.003632199999628938
DBSCAN,5.0,5,1,0,0.0,,,,0.0038569999996980187
DBSCAN,5.0,6,1,0,0.0,,,,0.005661099999997532
DBSCAN,5.0,8,1,0,0.0,,,,0.003848899999866262
DBSCAN,5.0,10,1,0,0.0,,,,0.0037004999994678656
